version,hit_at_1,hit_at_3,mrr,retrieval_source_recall_at_3,answerability_accuracy,citation_recall,citation_precision,correctness,faithfulness
v1,0.9333333333333333,1,0.9666666666666667,0.9666666666666667,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9722222222222222,1.0
v2,0.9333333333333333,1,0.9666666666666667,0.9666666666666667,1,0.9722222222222222,0.9629629629629629,1.0,1.0
